iter	MAE
660	0.1822556395
665	0.182086316
670	0.1819510006
675	0.1817723855
680	0.1814924631
685	0.1813878755
690	0.1812002587
695	0.1809802205
700	0.1807987218
705	0.1806412989
710	0.1804460688
715	0.1802882339
720	0.1801613251
725	0.1799700314
730	0.1798028286
735	0.1796190718
740	0.1794431572
745	0.1793001827
750	0.179132507
755	0.1789720631
760	0.1787964994
765	0.1786169994
770	0.1784837132
775	0.1783432867
780	0.1781733224
785	0.1780546067
790	0.1779147752
795	0.1777753709
800	0.177648096
805	0.1775176323
810	0.1773809438
815	0.177246376
820	0.177126394
825	0.176996739
830	0.1768642614
835	0.1767852753
840	0.1766162722
845	0.1764918504
850	0.1763450311
855	0.1762564483
860	0.1761150758
865	0.1760139669
870	0.1758828472
875	0.1757616141
880	0.1756085241
885	0.1754475615
890	0.1753426688
895	0.1752403851
900	0.1750927724
905	0.1749655738
910	0.1748312044
915	0.174670196
920	0.1745512972
925	0.1744636146
930	0.1743561892
935	0.1742167086
940	0.1740838954
945	0.1739276319
950	0.1738110981
955	0.173689331
960	0.1735897325
965	0.1735136147
970	0.1733873773
975	0.1732770226
980	0.1731576356
985	0.1730194213
990	0.1728827633
995	0.1727625525
1000	0.1726124377
1005	0.1725099708
1010	0.1724081601
1015	0.1722746603
1020	0.1721270324
1025	0.1720377172
1030	0.1719072993
1035	0.1718136359
1040	0.1717050052
1045	0.1715983884
1050	0.1714794744
1055	0.1713928292
1060	0.1712716724
1065	0.1711480135
1070	0.171024324
1075	0.1709350851
1080	0.1708363868
1085	0.1707045348
1090	0.1706119698
1095	0.1705174977
1100	0.1704204624
1105	0.1703120301
1110	0.170220167
1115	0.1701230249
1120	0.1700401329
1125	0.1699181523
1130	0.169826045
1135	0.1697125321
1140	0.169634736
1145	0.1695348934
1150	0.1694370037
1155	0.1693353608
1160	0.1692410107
1165	0.1691533128
1170	0.1690762796
1175	0.1689836231
1180	0.1688919431
1185	0.1688160542
1190	0.1687071031
1195	0.1686253249
1200	0.1684832659
1205	0.1684156921
1210	0.1683257361
1215	0.1682271446
1220	0.1681384092
1225	0.1680713999
1230	0.1679941836
1235	0.1679063636
1240	0.1678342432
1245	0.1677157412
1250	0.1676577946
1255	0.1675748264
1260	0.167472207
1265	0.1673583736
1270	0.1672894572
1275	0.167202278
1280	0.1671020083
1285	0.1669881901
1290	0.1669013008
1295	0.1667998715
1300	0.1667094578
1305	0.1666501991
1310	0.1665562763
1315	0.1664846441
1320	0.1664112726
1325	0.1663205996
1330	0.1662153254
1335	0.1661474923
1340	0.1660745022
1345	0.1659883605
1350	0.1659039734
1355	0.1658400003
1360	0.1657610447
1365	0.1656591729
1370	0.1655767539
1375	0.1655086156
1380	0.1654258763
1385	0.1653258964
1390	0.1652284339
1395	0.165150592
1400	0.1650683562
1405	0.164988119
1410	0.1649116503
1415	0.1648327405
1420	0.1647638698
1425	0.1646992407
1430	0.1646195375
1435	0.1645301155
1440	0.1644555692
1445	0.1643735317
1450	0.1643024792
1455	0.1642338832
1460	0.1641500148
1465	0.1640813883
1470	0.1640022496
1475	0.1639443641
1480	0.1638739678
1485	0.1637897332
1490	0.1636925606
1495	0.1636261616
1500	0.1635663384
1505	0.1635004429
1510	0.1634142555
1515	0.1633609471
1520	0.1632925189
1525	0.1632336722
1530	0.1631726437
1535	0.1630973651
1540	0.1630374809
1545	0.1629523309
1550	0.1628877475
1555	0.162788622
1560	0.1627114973
1565	0.1626346624
1570	0.1625726422
1575	0.1625135514
1580	0.1624461912
1585	0.1623781444
1590	0.1623193435
1595	0.1622569419
1600	0.1621899784
1605	0.1621210162
1610	0.1620651446
1615	0.1619948093
1620	0.1619435301
1625	0.1618749493
1630	0.1618117086
1635	0.1617435245
1640	0.1616656827
1645	0.1616205979
1650	0.1615893055
1655	0.1615472874
1660	0.1614830855
1665	0.1614151455
1670	0.1613521946
1675	0.1612961247
1680	0.1612383765
1685	0.1611531655
1690	0.1610979805
1695	0.1610315968
1700	0.1609502153
1705	0.1608873407
1710	0.1608497319
1715	0.1608027552
1720	0.1607553513
1725	0.1606694843
1730	0.1605932292
1735	0.1605492734
1740	0.1605041886
1745	0.160454603
1750	0.160397221
1755	0.1603462927
1760	0.1602542923
1765	0.1601800206
1770	0.1601043605
1775	0.1600296006
1780	0.1599567174
1785	0.1598980538
1790	0.1598389934
1795	0.1597712366
1800	0.1597139766
1805	0.1596528413
1810	0.1595767235
1815	0.1595142456
1820	0.1594681081
1825	0.1593960945
1830	0.1593326859
1835	0.1592705894
1840	0.1592061433
1845	0.1591533079
1850	0.1590987637
1855	0.1590400696
1860	0.158992269
1865	0.1589346734
1870	0.1588670844
1875	0.158783216
1880	0.1587247202
1885	0.1586575583
1890	0.158619263
1895	0.1585510179
1900	0.1584986402
1905	0.1584762275
1910	0.1584123001
1915	0.1583764611
1920	0.1583011367
1925	0.1582499033
1930	0.1582062985
1935	0.1581348646
1940	0.158075133
1945	0.1580024023
1950	0.1579478734
1955	0.157895694
1960	0.1578644322
1965	0.1577959582
1970	0.1577267977
1975	0.1576594223
1980	0.157609623
1985	0.1575455279
1990	0.1574618426
1995	0.1574023245
2000	0.1573415249
2005	0.1572454356
2010	0.1571936071
2015	0.1571279405
2020	0.1570692311
2025	0.1570096978
2030	0.1569592883
2035	0.1568999686
2040	0.1568431358
2045	0.156790453
2050	0.1567328116
2055	0.156688154
2060	0.1566292005
2065	0.156567638
2070	0.1565080742
2075	0.156457268
2080	0.1564248619
2085	0.1563832557
2090	0.1563481338
2095	0.1563162159
2100	0.1562691782
2105	0.156217365
2110	0.1561664825
2115	0.1561059575
2120	0.1560607507
2125	0.1560091053
2130	0.1559665685
2135	0.1559201868
2140	0.1558554051
2145	0.1558035156
2150	0.155747583
2155	0.1556817943
2160	0.1556137781
2165	0.1555577845
2170	0.1554993192
2175	0.1554605203
2180	0.1554100192
2185	0.1553736005
2190	0.1553033415
2195	0.1552552815
2200	0.1551826271
2205	0.1551378322
2210	0.1550638199
2215	0.155024426
2220	0.1549624364
2225	0.1549074192
2230	0.1548596949
2235	0.1548047998
2240	0.1547746517
2245	0.1547201838
2250	0.1546546392
2255	0.1546042755
2260	0.1545530726
2265	0.1545155248
2270	0.1544521772
2275	0.1544152092
2280	0.1543647234
2285	0.154324231
2290	0.1542789174
2295	0.1542456263
2300	0.1542072242
2305	0.154174696
2310	0.154130313
2315	0.154083672
2320	0.1540382058
2325	0.1539884828
2330	0.1539324587
2335	0.1538985116
2340	0.1538481783
2345	0.1538012474
2350	0.1537446435
2355	0.1537083316
2360	0.1536638723
2365	0.1536187723
2370	0.1535800192
2375	0.1535471554
2380	0.1534975392
2385	0.1534653925
2390	0.1534006718
2395	0.1533626205
2400	0.1533314349
2405	0.1532860298
2410	0.1532435082
2415	0.1531973401
2420	0.1531486241
2425	0.1530814928
2430	0.1530387881
2435	0.1530015455
2440	0.1529635247
2445	0.1529023132
2450	0.1528552755
2455	0.1528133336
2460	0.1527736957
2465	0.1527154135
2470	0.1526535153
2475	0.1526033041
2480	0.1525519639
2485	0.1525104798
2490	0.1524670886
2495	0.1524094777
2500	0.1523580612
2505	0.1523170653
2510	0.1522664574
2515	0.1522266669
2520	0.1521707495
2525	0.1521178988
2530	0.1520753467
2535	0.1520394162
2540	0.1520075594
2545	0.1519454781
2550	0.1519236452
2555	0.1518666293
2560	0.1518348793
2565	0.1517941122
2570	0.1517605008
2575	0.1517130664
2580	0.1516747253
2585	0.1516058241
2590	0.1515614106
2595	0.1515193773
2600	0.1514849877
2605	0.1514483249
2610	0.1514141947
2615	0.1513812393
2620	0.151338733
2625	0.1512854856
2630	0.1512468851
2635	0.1512080862
2640	0.1511646187
2645	0.1511351267
2650	0.1510971822
2655	0.1510641963
2660	0.1510127036
2665	0.1509868122
2670	0.150934404
2675	0.150899633
2680	0.1508650452
2685	0.1508252546
2690	0.1507753333
2695	0.1507339407
2700	0.1506847213
2705	0.1506217551
2710	0.1505957875
2715	0.1505553256
2720	0.1505083947
2725	0.1504559865
2730	0.15042445
2735	0.1503696007
2740	0.1503080992
2745	0.1502745946
2750	0.1502346667
2755	0.1501915654
2760	0.1501593118
2765	0.1501148526
2770	0.1500768471
2775	0.1500372854
2780	0.1500016447
2785	0.1499575822
2790	0.1498947533
2795	0.1498688315
2800	0.1498233653
2805	0.1497932325
2810	0.1497430365
2815	0.1497213104
2820	0.1496811689
2825	0.1496544537
2830	0.1496113828
2835	0.1495750709
2840	0.1495256836
2845	0.1494740688
2850	0.1494486809
2855	0.1493982409
2860	0.1493544224
2865	0.1493109549
2870	0.1492737428
2875	0.1492241266
2880	0.1491885012
2885	0.1491262217
2890	0.1490960889
2895	0.149050821
2900	0.1489999995
2905	0.1489792346
2910	0.1489486746
2915	0.1489112336
2920	0.1488751963
2925	0.148840822
2930	0.1487949591
2935	0.1487491114
2940	0.1487099769
2945	0.1486884033
2950	0.1486526254
2955	0.1486206617
2960	0.148584838
2965	0.1485576193
2970	0.1485404856
2975	0.1485089949
2980	0.1484792282
2985	0.148430436
2990	0.1483910116
2995	0.1483504886
3000	0.1483128493
3005	0.1482723417
3010	0.1482381505
3015	0.1482052256
3020	0.1481543431
3025	0.1481051999
3030	0.1480660044
3035	0.1480295551
3040	0.1479906342
3045	0.1479545359
3050	0.1479231062
3055	0.1478793945
3060	0.1478409771
3065	0.1478062366
3070	0.1477711453
3075	0.1477315683
3080	0.147707279
3085	0.1476820132
3090	0.1476525517
3095	0.1476186504
3100	0.1475959325
3105	0.1475735503
